,n,k,name,alpha,was_broken,iters
0,2,1,const_search,0.0001,True,1000
1,2,1,const_search,0.01,True,1000
2,2,1,wolfe_search,,False,2
3,2,1,bfgs,,False,2
4,2,5,const_search,0.0001,True,1000
5,2,5,const_search,0.01,False,571
6,2,5,wolfe_search,,False,26
7,2,5,bfgs,,False,5
8,2,10,const_search,0.0001,True,1000
9,2,10,const_search,0.01,False,202
10,2,10,wolfe_search,,False,118
11,2,10,bfgs,,False,9
12,5,1,const_search,0.0001,True,1000
13,5,1,const_search,0.01,True,1000
14,5,1,wolfe_search,,False,2
15,5,1,bfgs,,False,2
16,5,5,const_search,0.0001,True,1000
17,5,5,const_search,0.01,False,560
18,5,5,wolfe_search,,False,26
19,5,5,bfgs,,False,14
20,5,10,const_search,0.0001,True,1000
21,5,10,const_search,0.01,False,165
22,5,10,wolfe_search,,False,57
23,5,10,bfgs,,False,9
24,10,1,const_search,0.0001,True,1000
25,10,1,const_search,0.01,True,1000
26,10,1,wolfe_search,,False,2
27,10,1,bfgs,,False,2
28,10,5,const_search,0.0001,True,1000
29,10,5,const_search,0.01,False,315
30,10,5,wolfe_search,,False,30
31,10,5,bfgs,,False,17
32,10,10,const_search,0.0001,True,1000
33,10,10,const_search,0.01,False,197
34,10,10,wolfe_search,,False,118
35,10,10,bfgs,,False,16
36,20,1,const_search,0.0001,True,1000
37,20,1,const_search,0.01,True,1000
38,20,1,wolfe_search,,False,2
39,20,1,bfgs,,False,2
40,20,5,const_search,0.0001,True,1000
41,20,5,const_search,0.01,False,325
42,20,5,wolfe_search,,False,30
43,20,5,bfgs,,False,18
44,20,10,const_search,0.0001,True,1000
45,20,10,const_search,0.01,True,1000
46,20,10,wolfe_search,,False,46
47,20,10,bfgs,,False,20
48,2,1,const_search,0.0001,True,1000
49,2,1,const_search,0.01,True,1000
50,2,1,wolfe_search,,False,2
51,2,1,bfgs,,False,2
52,2,5,const_search,0.0001,True,1000
53,2,5,const_search,0.01,False,595
54,2,5,wolfe_search,,False,28
55,2,5,bfgs,,False,6
56,2,10,const_search,0.0001,True,1000
57,2,10,const_search,0.01,False,226
58,2,10,wolfe_search,,False,57
59,2,10,bfgs,,False,7
60,5,1,const_search,0.0001,True,1000
61,5,1,const_search,0.01,True,1000
62,5,1,wolfe_search,,False,2
63,5,1,bfgs,,False,2
64,5,5,const_search,0.0001,True,1000
65,5,5,const_search,0.01,True,1000
66,5,5,wolfe_search,,False,28
67,5,5,bfgs,,False,7
68,5,10,const_search,0.0001,True,1000
69,5,10,const_search,0.01,False,309
70,5,10,wolfe_search,,False,53
