,n,name,was_broken,iters,start,res
0,2,const_search_0.0001,True,1000,[-1.63900505  7.0972653 ],0.014735958512091713
1,2,const_search_0.01,True,1000,[-1.63900505  7.0972653 ],0.07582704448244793
2,2,wolfe_search,True,1000,[-1.63900505  7.0972653 ],-0.9999979616675582
3,2,bfgs,False,10,[-1.63900505  7.0972653 ],-0.999999999999999
4,2,const_search_0.0001,True,1000,[-9.97914446 -4.22235718],-0.9769604814521893
5,2,const_search_0.01,True,1000,[-9.97914446 -4.22235718],-0.2213920328798372
6,2,wolfe_search,False,272,[-9.97914446 -4.22235718],-0.999999998823338
7,2,bfgs,False,10,[-9.97914446 -4.22235718],-0.9999999999172535
8,2,const_search_0.0001,True,1000,[-6.98626902 -5.53391289],-0.9687724251832888
9,2,const_search_0.01,True,1000,[-6.98626902 -5.53391289],-0.21670085285092414
10,2,wolfe_search,False,107,[-6.98626902 -5.53391289],-0.9999999989848114
11,2,bfgs,False,8,[-6.98626902 -5.53391289],-0.999999999999786
12,2,const_search_0.0001,True,1000,[3.95014402 2.61282307],-0.9329034361442016
13,2,const_search_0.01,False,105,[3.95014402 2.61282307],-0.9999999995707541
14,2,wolfe_search,False,97,[3.95014402 2.61282307],-0.9999999998755053
15,2,bfgs,False,8,[3.95014402 2.61282307],-0.9999999999991216
16,2,const_search_0.0001,True,1000,[ 4.68858459 -1.33690531],-0.895220995788766
17,2,const_search_0.01,True,1000,[ 4.68858459 -1.33690531],-0.9999998757532529
18,2,wolfe_search,False,170,[ 4.68858459 -1.33690531],-0.9999999976213001
19,2,bfgs,False,11,[ 4.68858459 -1.33690531],-0.9999999999998844
20,2,const_search_0.0001,True,1000,[8.89728328 6.57555365],-0.03628008103854722
21,2,const_search_0.01,True,1000,[8.89728328 6.57555365],-0.44448112800774686
22,2,wolfe_search,True,1000,[8.89728328 6.57555365],-0.9999998732317744
23,2,bfgs,False,8,[8.89728328 6.57555365],-0.9999999999999987
24,2,const_search_0.0001,True,1000,[ 9.43898876 -2.8895751 ],-0.48346063906491576
25,2,const_search_0.01,False,489,[ 9.43898876 -2.8895751 ],-0.9999999976980103
26,2,wolfe_search,False,442,[ 9.43898876 -2.8895751 ],-0.9999999977463017
27,2,bfgs,False,10,[ 9.43898876 -2.8895751 ],-0.9999999999849412
28,2,const_search_0.0001,True,1000,[ 8.21524656 -0.58555426],-0.03362007944633509
29,2,const_search_0.01,False,439,[ 8.21524656 -0.58555426],-0.9999999990005246
30,2,wolfe_search,False,326,[ 8.21524656 -0.58555426],-0.08941087843958462
31,2,bfgs,False,11,[ 8.21524656 -0.58555426],-0.9351669223476854
32,2,const_search_0.0001,True,1000,[ 9.64708762 -3.95047836],-0.0007338583216437214
33,2,const_search_0.01,True,1000,[ 9.64708762 -3.95047836],-0.2528752144994643
34,2,wolfe_search,False,246,[ 9.64708762 -3.95047836],-0.9999999985095124
35,2,bfgs,False,9,[ 9.64708762 -3.95047836],-0.9999999999999577
36,2,const_search_0.0001,True,1000,[-4.5135615   1.87969698],-0.9674481330575189
37,2,const_search_0.01,False,49,[-4.5135615   1.87969698],-0.9999999998124769
38,2,wolfe_search,False,39,[-4.5135615   1.87969698],-0.9999999997040235
39,2,bfgs,False,8,[-4.5135615   1.87969698],-0.9999999995545971
40,2,const_search_0.0001,True,1000,[0.77847943 3.47858451],-0.9814602514893769
41,2,const_search_0.01,True,1000,[0.77847943 3.47858451],0.1444501066837582
42,2,wolfe_search,True,1000,[0.77847943 3.47858451],-0.9840564310268071
43,2,bfgs,True,3,[0.77847943 3.47858451],-0.22364036848627128
44,2,const_search_0.0001,True,1000,[-5.29012986  5.2653414 ],0.3796332354722377
45,2,const_search_0.01,True,1000,[-5.29012986  5.2653414 ],-0.84728859676061
46,2,wolfe_search,True,1000,[-5.29012986  5.2653414 ],-0.9999905675945981
47,2,bfgs,False,7,[-5.29012986  5.2653414 ],-0.9999999999982021
48,2,const_search_0.0001,True,1000,[-6.54063623  8.85490573],0.0827160835958295
49,2,const_search_0.01,True,1000,[-6.54063623  8.85490573],
50,2,wolfe_search,True,1000,[-6.54063623  8.85490573],-0.9998059330797672
51,2,bfgs,False,9,[-6.54063623  8.85490573],-0.9999999999999898
52,2,const_search_0.0001,True,1000,[-2.49266283 -5.74998495],-0.8345576827880622
53,2,const_search_0.01,True,1000,[-2.49266283 -5.74998495],0.004880024254845014
54,2,wolfe_search,False,219,[-2.49266283 -5.74998495],-0.9999999993213523
55,2,bfgs,False,8,[-2.49266283 -5.74998495],-0.9999999999880644
56,2,const_search_0.0001,True,1000,[-4.71506092  2.5032112 ],-0.9999104103167518
57,2,const_search_0.01,False,33,[-4.71506092  2.5032112 ],-0.999999999812399
58,2,wolfe_search,False,55,[-4.71506092  2.5032112 ],-0.9999999989190184
59,2,bfgs,False,10,[-4.71506092  2.5032112 ],-0.9999999999997093
60,2,const_search_0.0001,True,1000,[-2.89388184  5.9900711 ],-0.06503633698817833
61,2,const_search_0.01,True,1000,[-2.89388184  5.9900711 ],-0.5381006863177097
62,2,wolfe_search,True,1000,[-2.89388184  5.9900711 ],-0.9999921608533201
63,2,bfgs,False,10,[-2.89388184  5.9900711 ],-0.9999999999999996
64,2,const_search_0.0001,True,1000,[7.0207888  2.40432368],-0.9162817397352535
65,2,const_search_0.01,False,50,[7.0207888  2.40432368],-0.9999999998409769
66,2,wolfe_search,False,179,[7.0207888  2.40432368],-0.9999999999236885
67,2,bfgs,False,9,[7.0207888  2.40432368],-0.9999999999999998
68,2,const_search_0.0001,True,1000,[-3.12874596 -5.48199811],-0.7464570521424962
69,2,const_search_0.01,True,1000,[-3.12874596 -5.48199811],-0.19586709861828785
70,2,wolfe_search,False,48,[-3.12874596 -5.48199811],-0.9999999996363881
71,2,bfgs,False,7,[-3.12874596 -5.48199811],-0.9999999999774166
72,2,const_search_0.0001,True,1000,[7.01787294 4.64974935],-0.9999546637738049
73,2,const_search_0.01,True,1000,[7.01787294 4.64974935],0.6916712206731853
74,2,wolfe_search,False,311,[7.01787294 4.64974935],-0.9999999999591863
75,2,bfgs,False,9,[7.01787294 4.64974935],-0.9999999999999832
76,2,const_search_0.0001,True,1000,[-7.21406166  7.24343082],-0.002665224100126938
77,2,const_search_0.01,False,334,[-7.21406166  7.24343082],-0.999999998382292
78,2,wolfe_search,True,1000,[-7.21406166  7.24343082],-0.9999375251344774
79,2,bfgs,False,9,[-7.21406166  7.24343082],-0.9999999999999177
80,2,const_search_0.0001,True,1000,[7.28913479 4.22729799],-0.9999970408150668
81,2,const_search_0.01,True,1000,[7.28913479 4.22729799],-0.051636634144989306
82,2,wolfe_search,False,27,[7.28913479 4.22729799],-0.9999999999542891
83,2,bfgs,False,10,[7.28913479 4.22729799],-0.9999999999999348
84,2,const_search_0.0001,True,1000,[-1.00619699  7.47167173],0.6190797085472354
85,2,const_search_0.01,False,259,[-1.00619699  7.47167173],-0.9999999987672233
86,2,wolfe_search,True,1000,[-1.00619699  7.47167173],-0.9999992257189985
87,2,bfgs,False,8,[-1.00619699  7.47167173],-0.7270789235772015
88,2,const_search_0.0001,True,1000,[7.93079204 0.55325362],-0.7161930840869709
89,2,const_search_0.01,True,1000,[7.93079204 0.55325362],-0.9999995611682185
90,2,wolfe_search,False,116,[7.93079204 0.55325362],-0.9999999971270013
91,2,bfgs,False,9,[7.93079204 0.55325362],-0.9999999999955194
92,2,const_search_0.0001,True,1000,[ 1.46338854 -8.22532706],-0.8529667509512431
93,2,const_search_0.01,True,1000,[ 1.46338854 -8.22532706],0.7461541948078863
94,2,wolfe_search,True,1000,[ 1.46338854 -8.22532706],-0.9999997736244445
95,2,bfgs,False,12,[ 1.46338854 -8.22532706],-0.9999999999999984
96,2,const_search_0.0001,True,1000,[-4.60410689 -7.0645193 ],-0.640200981239977
97,2,const_search_0.01,True,1000,[-4.60410689 -7.0645193 ],-0.08802423509720445
98,2,wolfe_search,False,555,[-4.60410689 -7.0645193 ],-0.9999999988990939
99,2,bfgs,False,10,[-4.60410689 -7.0645193 ],-0.9999999999998583
100,2,const_search_0.0001,True,1000,[-2.7822762  2.8185255],-0.9857546509075343
101,2,const_search_0.01,True,1000,[-2.7822762  2.8185255],-0.18953035413873145
102,2,wolfe_search,False,114,[-2.7822762  2.8185255],-0.9999999997425031
103,2,bfgs,False,7,[-2.7822762  2.8185255],-1.0
104,2,const_search_0.0001,True,1000,[-9.20229243  4.83414175],-0.9999999987313501
105,2,const_search_0.01,True,1000,[-9.20229243  4.83414175],-0.532301018109121
106,2,wolfe_search,True,1000,[-9.20229243  4.83414175],-0.9999999996773534
107,2,bfgs,False,8,[-9.20229243  4.83414175],-0.9999999999978068
108,2,const_search_0.0001,True,1000,[ 7.87747097 -3.83571817],-0.7854150798631546
109,2,const_search_0.01,False,345,[ 7.87747097 -3.83571817],-0.999999998255143
110,2,wolfe_search,False,55,[ 7.87747097 -3.83571817],-0.2074487688909371
111,2,bfgs,True,4,[ 7.87747097 -3.83571817],-0.9274446022907987
112,2,const_search_0.0001,True,1000,[3.1807038  7.42357645],-0.007003604035350999
113,2,const_search_0.01,True,1000,[3.1807038  7.42357645],0.08720703005811976
114,2,wolfe_search,True,1000,[3.1807038  7.42357645],-0.9994727141277973
115,2,bfgs,False,10,[3.1807038  7.42357645],-0.999999999999996
116,2,const_search_0.0001,True,1000,[ 3.39731814 -5.33207096],-0.22383080292796767
117,2,const_search_0.01,True,1000,[ 3.39731814 -5.33207096],-0.7846004280604667
118,2,wolfe_search,False,899,[ 3.39731814 -5.33207096],-0.9999999993803733
119,2,bfgs,False,9,[ 3.39731814 -5.33207096],-0.9999999999999871
120,2,const_search_0.0001,True,1000,[-9.24917603  9.4283578 ],-0.9799942370447026
121,2,const_search_0.01,True,1000,[-9.24917603  9.4283578 ],-0.25971455707254415
122,2,wolfe_search,True,1000,[-9.24917603  9.4283578 ],-0.9999266266358706
123,2,bfgs,True,10,[-9.24917603  9.4283578 ],-0.9999999999999999
124,2,const_search_0.0001,True,1000,[-2.47192476  2.34015371],-0.9430228062916582
125,2,const_search_0.01,False,124,[-2.47192476  2.34015371],-0.9999999994418358
126,2,wolfe_search,False,38,[-2.47192476  2.34015371],-0.9999999997756664
127,2,bfgs,False,8,[-2.47192476  2.34015371],-0.9999999999992542
128,2,const_search_0.0001,True,1000,[ 7.52120992 -9.12827889],-0.9744072820550527
129,2,const_search_0.01,True,1000,[ 7.52120992 -9.12827889],-0.9698366176743779
130,2,wolfe_search,False,729,[ 7.52120992 -9.12827889],-0.9999999989995653
131,2,bfgs,False,6,[ 7.52120992 -9.12827889],-0.999999999999993
132,2,const_search_0.0001,True,1000,[0.39278533 8.12249173],-0.009000028668955825
133,2,const_search_0.01,True,1000,[0.39278533 8.12249173],0.06039376904569063
134,2,wolfe_search,True,1000,[0.39278533 8.12249173],-0.9997999424844448
135,2,bfgs,False,9,[0.39278533 8.12249173],-0.7203384360318441
136,2,const_search_0.0001,True,1000,[-1.51355824 -3.63014728],-0.6117854495837093
137,2,const_search_0.01,False,267,[-1.51355824 -3.63014728],-0.9999999987662934
138,2,wolfe_search,False,34,[-1.51355824 -3.63014728],-0.9999999995667644
139,2,bfgs,False,10,[-1.51355824 -3.63014728],-0.9999999999346938
140,2,const_search_0.0001,True,1000,[0.12960734 0.97126678],-0.11908678712873981
141,2,const_search_0.01,True,1000,[0.12960734 0.97126678],-0.9270157900131853
142,2,wolfe_search,False,417,[0.12960734 0.97126678],-0.9272608095182421
143,2,bfgs,False,9,[0.12960734 0.97126678],-0.9272608207717281
144,2,const_search_0.0001,True,1000,[-5.38566754 -8.90274128],-0.9712911471308204
145,2,const_search_0.01,True,1000,[-5.38566754 -8.90274128],-0.808289724484731
146,2,wolfe_search,True,1000,[-5.38566754 -8.90274128],-0.9999970449020558
147,2,bfgs,False,10,[-5.38566754 -8.90274128],-0.9999999999999996
148,2,const_search_0.0001,True,1000,[4.94418696 0.99824129],-0.40900697342799835
149,2,const_search_0.01,False,941,[4.94418696 0.99824129],-0.9999999942702256
150,2,wolfe_search,False,37,[4.94418696 0.99824129],-0.9999999998624766
151,2,bfgs,False,9,[4.94418696 0.99824129],-0.9999999999834711
152,2,const_search_0.0001,True,1000,[-9.98611595  8.51847819],-0.00012068866779167244
153,2,const_search_0.01,True,1000,[-9.98611595  8.51847819],-0.5064530272944281
154,2,wolfe_search,True,1000,[-9.98611595  8.51847819],-0.9994396358673213
155,2,bfgs,False,8,[-9.98611595  8.51847819],-0.9999999999999949
156,2,const_search_0.0001,True,1000,[-3.981235    1.35360283],-0.9350648154946141
157,2,const_search_0.01,False,50,[-3.981235    1.35360283],-0.9999999997826328
158,2,wolfe_search,False,67,[-3.981235    1.35360283],-0.9999999998360404
159,2,bfgs,False,9,[-3.981235    1.35360283],-0.9999999999996958
160,2,const_search_0.0001,True,1000,[-0.999625   -1.86967928],-0.6736244072393772
161,2,const_search_0.01,False,252,[-0.999625   -1.86967928],-0.9999999987507544
162,2,wolfe_search,False,34,[-0.999625   -1.86967928],-0.9999999993307347
163,2,bfgs,False,8,[-0.999625   -1.86967928],-0.999999999962479
164,2,const_search_0.0001,True,1000,[ 5.61368938 -5.25924128],-0.9710547567077561
165,2,const_search_0.01,True,1000,[ 5.61368938 -5.25924128],-0.8756595421422275
166,2,wolfe_search,False,339,[ 5.61368938 -5.25924128],-0.9999999991938499
167,2,bfgs,False,7,[ 5.61368938 -5.25924128],-0.9999999999998285
168,2,const_search_0.0001,True,1000,[ 3.99194564 -5.20108766],-0.9507655097134912
169,2,const_search_0.01,True,1000,[ 3.99194564 -5.20108766],-0.059326698898183476
170,2,wolfe_search,False,97,[ 3.99194564 -5.20108766],-0.9999999992942906
171,2,bfgs,False,7,[ 3.99194564 -5.20108766],-0.9999999999601107
172,2,const_search_0.0001,True,1000,[-2.50867339  9.67917301],0.034705311228275915
173,2,const_search_0.01,True,1000,[-2.50867339  9.67917301],0.3089527965587163
174,2,wolfe_search,True,1000,[-2.50867339  9.67917301],-0.9999659308050239
175,2,bfgs,False,9,[-2.50867339  9.67917301],-0.9999999999999183
176,2,const_search_0.0001,True,1000,[-0.42678552  5.83530719],-0.033467674487508856
177,2,const_search_0.01,True,1000,[-0.42678552  5.83530719],-0.9446540312295912
178,2,wolfe_search,True,1000,[-0.42678552  5.83530719],-0.9976763465000988
179,2,bfgs,False,12,[-0.42678552  5.83530719],-0.9999999999999998
180,2,const_search_0.0001,True,1000,[3.93812182 2.16526143],-0.15043062570299837
181,2,const_search_0.01,False,257,[3.93812182 2.16526143],-0.9999999988114858
182,2,wolfe_search,False,148,[3.93812182 2.16526143],-0.3660038324246408
183,2,bfgs,False,8,[3.93812182 2.16526143],-0.36600383610225956
184,2,const_search_0.0001,True,1000,[-8.82348818 -8.9104657 ],-0.7809274982223581
185,2,const_search_0.01,True,1000,[-8.82348818 -8.9104657 ],0.5991950460401236
186,2,wolfe_search,True,1000,[-8.82348818 -8.9104657 ],-0.9999947802172988
187,2,bfgs,False,9,[-8.82348818 -8.9104657 ],-0.9999999999999161
188,2,const_search_0.0001,True,1000,[-6.41921246 -7.53786521],-0.8748284046599863
189,2,const_search_0.01,True,1000,[-6.41921246 -7.53786521],0.21805079598356544
190,2,wolfe_search,True,1000,[-6.41921246 -7.53786521],-0.9999912343543491
191,2,bfgs,False,8,[-6.41921246 -7.53786521],-0.9999999999987783
192,2,const_search_0.0001,True,1000,[0.76184069 8.73230206],0.07780113964440274
193,2,const_search_0.01,True,1000,[0.76184069 8.73230206],
194,2,wolfe_search,True,1000,[0.76184069 8.73230206],-0.9998813977434076
195,2,bfgs,True,2,[0.76184069 8.73230206],-0.1615261187564529
196,2,const_search_0.0001,True,1000,[3.17661964 5.26173015],-0.27835571729058795
197,2,const_search_0.01,False,448,[3.17661964 5.26173015],-0.9999999976643925
198,2,wolfe_search,True,1000,[3.17661964 5.26173015],-0.9995178380877745
199,2,bfgs,False,9,[3.17661964 5.26173015],-0.9999999999999958
200,2,const_search_0.0001,True,1000,[4.32332427 5.66677478],-0.16495820764699606
201,2,const_search_0.01,True,1000,[4.32332427 5.66677478],0.024609949143671987
202,2,wolfe_search,True,1000,[4.32332427 5.66677478],-0.999999999315128
203,2,bfgs,False,8,[4.32332427 5.66677478],-0.9999999999999607
204,2,const_search_0.0001,True,1000,[ 3.90800589 -8.56457566],-0.9115562395875029
205,2,const_search_0.01,True,1000,[ 3.90800589 -8.56457566],-0.2114969587722075
206,2,wolfe_search,True,1000,[ 3.90800589 -8.56457566],-0.9999892252755778
207,2,bfgs,False,8,[ 3.90800589 -8.56457566],-0.9999999999978729
208,2,const_search_0.0001,True,1000,[6.80657572 6.12885125],-0.04211171564653821
209,2,const_search_0.01,True,1000,[6.80657572 6.12885125],-0.4605517174223013
210,2,wolfe_search,True,1000,[6.80657572 6.12885125],-0.9996980015528623
211,2,bfgs,False,7,[6.80657572 6.12885125],-0.9999999999998821
212,2,const_search_0.0001,True,1000,[ 3.57381165 -8.61133492],-0.6003974629103819
213,2,const_search_0.01,True,1000,[ 3.57381165 -8.61133492],0.17774233684403992
214,2,wolfe_search,True,1000,[ 3.57381165 -8.61133492],-0.9999966184674796
215,2,bfgs,False,10,[ 3.57381165 -8.61133492],-0.999999999999998
216,2,const_search_0.0001,True,1000,[-8.99496481 -9.02965066],-0.5933925600001133
217,2,const_search_0.01,True,1000,[-8.99496481 -9.02965066],0.7983787043792362
218,2,wolfe_search,True,1000,[-8.99496481 -9.02965066],-0.9999999982628971
219,2,bfgs,False,7,[-8.99496481 -9.02965066],-0.9999999999989174
220,2,const_search_0.0001,True,1000,[-6.36993668  6.74456435],0.08634910781992977
221,2,const_search_0.01,True,1000,[-6.36993668  6.74456435],0.027814615340177675
222,2,wolfe_search,True,1000,[-6.36993668  6.74456435],-0.9999632080916498
223,2,bfgs,False,9,[-6.36993668  6.74456435],-0.9999999999999999
224,2,const_search_0.0001,True,1000,[5.5825429  8.25981349],0.04635235350888908
225,2,const_search_0.01,True,1000,[5.5825429  8.25981349],-0.36600337988241466
226,2,wolfe_search,True,1000,[5.5825429  8.25981349],-0.9992179620360407
227,2,bfgs,True,12,[5.5825429  8.25981349],-0.999999999999999
228,2,const_search_0.0001,True,1000,[ 5.09182915 -8.28513787],-0.5012402210661341
229,2,const_search_0.01,True,1000,[ 5.09182915 -8.28513787],0.043247538990007925
230,2,wolfe_search,False,300,[ 5.09182915 -8.28513787],-0.9999999990376359
231,2,bfgs,False,8,[ 5.09182915 -8.28513787],-0.99999999999458
232,2,const_search_0.0001,True,1000,[4.52749104 9.36089966],-0.0924531606232666
233,2,const_search_0.01,True,1000,[4.52749104 9.36089966],0.49836186099249435
234,2,wolfe_search,True,1000,[4.52749104 9.36089966],-0.9999725261530769
235,2,bfgs,True,10,[4.52749104 9.36089966],-0.99999999999998
236,2,const_search_0.0001,True,1000,[-4.60081116 -3.92615294],-0.45606738246103246
237,2,const_search_0.01,False,334,[-4.60081116 -3.92615294],-0.999999998384727
238,2,wolfe_search,False,54,[-4.60081116 -3.92615294],-0.9999999988410513
239,2,bfgs,False,8,[-4.60081116 -3.92615294],-0.9999999999997361
