,n,k,name,was_broken,iters,ans
0,2,1,gradient_search,False,1,"[-9.837700413985512, -0.873768519486291]"
1,2,1,bfgs,False,5,[1. 1.]
2,2,5,gradient_search,False,1,"[-7.673241064804779, 5.876180169628018]"
3,2,5,bfgs,False,4,[0.9999883  0.99998827]
4,2,10,gradient_search,False,1,"[-0.07390315389766311, 5.048266533357733]"
5,2,10,bfgs,False,4,[1.0000092  1.00000929]
6,5,1,gradient_search,False,1,"[8.729426282801363, 9.44400507316166, -8.838419491372157, -3.9470565016919834, 1.856124414478526]"
7,5,1,bfgs,False,11,[0.99999834 0.99999835 0.99999838 0.99999837 0.99999833]
8,5,5,gradient_search,False,1,"[6.460183734203779, -5.017766051939246, 3.406440927983161, -8.38452849993115, -1.22451449234096]"
9,5,5,bfgs,False,11,[1. 1. 1. 1. 1.]
10,5,10,gradient_search,False,1,"[-6.935755076783321, 9.582432189452081, -8.401027117022908, -0.033710772905575226, -5.382528190516869]"
11,5,10,bfgs,False,11,[1. 1. 1. 1. 1.]
12,10,1,gradient_search,False,1,"[-9.92121367104389, -5.570875727676141, 7.256027136242613, -4.600305335162707, -3.45928994448516, -8.75177790381598, -3.2108987181458626, -3.9506829511956476, 7.266075345766594, 0.5048262086255928]"
13,10,1,bfgs,False,16,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
14,10,5,gradient_search,False,1,"[-1.2109421346925675, 0.7873849236784181, -9.086336680719489, 7.967970903771313, 4.781952954573687, 4.623960893365597, 7.483250476598493, -6.892147931848445, -2.7299837618590095, 6.343839680229011]"
15,10,5,bfgs,False,16,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
16,10,10,gradient_search,False,1,"[-1.4525071727425631, -5.3267197045433985, 8.021843007129956, -7.587287645342531, 5.659926784875166, -5.325876892587836, 9.577934038884703, -4.490438823982698, 3.009591636657436, 6.77487122712594]"
17,10,10,bfgs,False,17,"[0.99999943 0.99999942 0.99999941 0.99999938 0.99999939 0.99999938
 0.99999939 0.99999939 0.99999939 0.9999994 ]"
18,20,1,gradient_search,False,1,"[-6.412840682091836, -7.1571521317904185, 1.540036808829306, 6.082691568009211, 8.340972122074335, -2.7936407375493744, -1.7654198758528605, -3.819753122477547, -4.232911026241006, -0.7065580849389996, -0.25805209278832786, 1.4063114328802184, -3.75407314295354, 6.482685989715766, -6.208821194513707, 4.338210580167261, 3.660036961379789, -8.075001917340849, 2.063722167891675, 9.655646568471054]"
19,20,1,bfgs,False,27,"[1.00000001 1.00000001 1.00000001 1.00000002 1.00000001 1.00000001
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.00000001 1.00000001 1.
 1.00000001 1.00000001]"
20,20,5,gradient_search,False,1,"[-0.4628972874547066, -3.041696499065152, 7.356397504739061, -3.1493381955665822, -6.3673937426539755, 6.10510740590827, -8.177851605270842, -5.486338880289676, -9.44185956061804, 9.549314887669595, 4.5416308780843, 5.399269830256623, -3.9812352837066034, 0.19339610587623346, -7.328267108730701, 2.397475750858844, 1.4249632716401606, -1.228470934183301, -3.6121086336588903, -2.6015515582374737]"
21,20,5,bfgs,False,27,"[0.99999999 0.99999999 0.99999998 0.99999999 0.99999999 0.99999998
 0.99999999 0.99999998 0.99999997 0.99999997 0.99999997 0.99999996
 0.99999997 0.99999996 0.99999995 0.99999995 0.99999994 0.99999994
 0.99999994 0.99999994]"
22,20,10,gradient_search,False,1,"[-1.2268882996402386, 2.1889475709387707, 1.6709937370006833, 7.188665943175834, -1.7810854232394435, 0.1749540555795459, -9.057164572982979, 4.034629543723442, 1.8171247475949448, 8.53716552038293, 1.6157669589506396, -4.882783402388271, 7.198629792408964, -1.3921510473658816, 3.591290398662055, -3.0184594656237596, -9.623180960360063, -3.132847347941752, 0.501111135675183, -4.5262411936312485]"
23,20,10,bfgs,False,27,"[1.00000003 1.00000003 1.00000003 1.00000003 1.00000003 1.00000003
 1.00000002 1.00000002 1.00000002 1.00000001 1.00000001 1.
 1.00000001 1.         1.         0.99999999 0.99999998 0.99999998
 0.99999998 0.99999998]"
24,2,1,gradient_search,False,1,"[-0.5033153704797044, 4.3361045743097755]"
25,2,1,bfgs,False,4,[1.00000571 1.00000576]
26,2,5,gradient_search,False,1,"[-8.397172539304433, -0.27230447975764793]"
27,2,5,bfgs,False,5,[1. 1.]
28,2,10,gradient_search,False,1,"[-5.072441794833258, -0.06335071746770948]"
29,2,10,bfgs,False,4,[0.9999786  0.99997875]
